Entity,avg_depression
Greenland,6.459108892857143
Morocco,5.610297678571428
Lesotho,5.423810928571429
Uganda,5.227816642857142
Finland,5.183080178571429
Iran,4.874332607142856
Palestine,4.818329678571429
Australia,4.795486500000002
United States,4.744654964285715
Portugal,4.699081464285716
